Effective area (cm^2) for 14 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  17.50   11.80   10.32    8.82    7.31    5.79    4.42    3.32    2.53    2.00    1.61    1.29    1.05    0.85 
  17.75   11.82   10.33    8.83    7.32    5.80    4.43    3.32    2.53    2.01    1.62    1.30    1.05    0.85 
  18.00   11.83   10.35    8.84    7.33    5.80    4.43    3.33    2.53    2.01    1.62    1.30    1.05    0.85 
  18.25   11.85   10.36    8.85    7.34    5.81    4.43    3.33    2.53    2.01    1.62    1.30    1.06    0.85 
  18.50   11.86   10.37    8.86    7.35    5.81    4.44    3.33    2.54    2.01    1.62    1.30    1.06    0.85 
  18.75   11.87   10.38    8.87    7.35    5.82    4.44    3.33    2.54    2.01    1.62    1.30    1.06    0.85 
  19.00   11.88   10.39    8.88    7.36    5.82    4.44    3.33    2.54    2.02    1.62    1.30    1.06    0.85 
  19.25   11.90   10.40    8.89    7.36    5.82    4.44    3.33    2.54    2.02    1.63    1.30    1.06    0.85 
  19.50   11.91   10.41    8.89    7.37    5.83    4.44    3.34    2.54    2.02    1.63    1.31    1.06    0.86 
  19.75   11.92   10.42    8.90    7.38    5.83    4.45    3.34    2.54    2.02    1.63    1.31    1.06    0.86 
  20.00   11.93   10.43    8.91    7.38    5.83    4.45    3.34    2.55    2.02    1.63    1.31    1.06    0.86 
  20.25   11.94   10.44    8.92    7.39    5.83    4.45    3.34    2.55    2.02    1.63    1.31    1.06    0.86 
  20.50   11.95   10.45    8.92    7.39    5.84    4.45    3.33    2.55    2.02    1.63    1.31    1.06    0.86 
  20.75   11.96   10.46    8.93    7.39    5.84    4.45    3.33    2.55    2.03    1.63    1.31    1.06    0.86 
  21.00   11.97   10.47    8.93    7.40    5.84    4.45    3.33    2.55    2.03    1.63    1.31    1.07    0.86 
  21.25   11.98   10.47    8.94    7.40    5.84    4.44    3.33    2.55    2.03    1.63    1.31    1.07    0.86 
  21.50   11.99   10.48    8.95    7.40    5.84    4.44    3.32    2.55    2.03    1.64    1.31    1.07    0.86 
  21.75   12.00   10.49    8.95    7.41    5.84    4.44    3.32    2.55    2.03    1.64    1.31    1.07    0.86 
  22.00   12.01   10.50    8.96    7.41    5.84    4.43    3.31    2.55    2.03    1.64    1.31    1.07    0.86 
  22.25   12.01   10.50    8.96    7.41    5.84    4.43    3.30    2.55    2.03    1.64    1.31    1.07    0.86 
  22.50   12.02   10.51    8.96    7.41    5.84    4.42    3.30    2.55    2.03    1.64    1.31    1.07    0.86 
  22.75   12.03   10.51    8.97    7.41    5.83    4.42    3.29    2.55    2.03    1.64    1.31    1.07    0.86 
  23.00   12.04   10.52    8.97    7.41    5.83    4.41    3.28    2.55    2.03    1.64    1.32    1.07    0.86 
  23.25   12.04   10.53    8.98    7.42    5.83    4.40    3.27    2.55    2.03    1.64    1.32    1.07    0.86 
  23.50   12.05   10.53    8.98    7.42    5.82    4.38    3.26    2.54    2.03    1.64    1.32    1.07    0.86 
  23.75   12.06   10.54    8.98    7.42    5.82    4.37    3.24    2.54    2.03    1.64    1.32    1.07    0.86 
  24.00   12.06   10.54    8.98    7.41    5.81    4.35    3.23    2.54    2.03    1.64    1.32    1.07    0.86 
  24.25   12.07   10.55    8.99    7.41    5.80    4.33    3.22    2.53    2.03    1.64    1.32    1.07    0.86 
  24.50   12.07   10.55    8.99    7.41    5.79    4.30    3.21    2.53    2.02    1.64    1.32    1.07    0.86 
  24.75   12.08   10.55    8.99    7.41    5.77    4.28    3.20    2.52    2.02    1.64    1.32    1.07    0.86 
  25.00   12.08   10.56    8.99    7.41    5.76    4.25    3.18    2.52    2.02    1.63    1.32    1.07    0.86 
  25.25   12.09   10.56    8.99    7.40    5.74    4.22    3.17    2.51    2.02    1.63    1.31    1.07    0.86 
  25.50   12.09   10.56    8.99    7.40    5.72    4.19    3.15    2.50    2.01    1.63    1.31    1.07    0.86 
  25.75   12.10   10.57    8.99    7.39    5.69    4.16    3.13    2.49    2.01    1.63    1.31    1.07    0.86 
  26.00   12.10   10.57    8.99    7.39    5.66    4.13    3.12    2.48    2.00    1.63    1.31    1.07    0.86 
  26.25   12.11   10.57    8.99    7.38    5.63    4.09    3.10    2.47    2.00    1.63    1.31    1.07    0.86 
  26.50   12.11   10.58    8.99    7.37    5.59    4.06    3.08    2.47    1.99    1.62    1.31    1.07    0.86 
  26.75   12.11   10.58    8.99    7.36    5.55    4.03    3.06    2.45    1.98    1.62    1.31    1.07    0.86 
  27.00   12.12   10.58    8.99    7.35    5.50    3.99    3.04    2.44    1.97    1.62    1.31    1.07    0.86 
  27.25   12.12   10.58    8.99    7.33    5.46    3.96    3.02    2.43    1.97    1.61    1.31    1.07    0.86 
  27.50   12.12   10.58    8.98    7.30    5.41    3.92    3.00    2.42    1.96    1.60    1.30    1.06    0.86 
  27.75   12.12   10.58    8.98    7.28    5.37    3.89    2.99    2.40    1.95    1.60    1.30    1.06    0.86 
  28.00   12.13   10.58    8.98    7.25    5.31    3.85    2.97    2.39    1.94    1.59    1.30    1.06    0.86 
  28.25   12.13   10.58    8.97    7.21    5.26    3.81    2.95    2.38    1.93    1.58    1.29    1.06    0.86 
  28.50   12.13   10.58    8.97    7.18    5.21    3.78    2.92    2.36    1.92    1.58    1.29    1.06    0.86 
  28.75   12.13   10.58    8.96    7.13    5.15    3.74    2.90    2.34    1.91    1.57    1.28    1.06    0.86 
  29.00   12.13   10.58    8.96    7.08    5.10    3.70    2.88    2.33    1.89    1.56    1.28    1.05    0.86 
  29.25   12.13   10.58    8.95    7.03    5.04    3.67    2.86    2.31    1.88    1.55    1.27    1.05    0.85 
  29.50   12.13   10.58    8.94    6.97    4.99    3.63    2.83    2.30    1.87    1.54    1.26    1.04    0.85 
  29.75   12.13   10.58    8.93    6.91    4.93    3.59    2.81    2.28    1.85    1.53    1.26    1.04    0.85 
  30.00   12.13   10.58    8.92    6.85    4.87    3.56    2.78    2.26    1.84    1.52    1.25    1.03    0.85 
  30.25   12.13   10.58    8.90    6.80    4.82    3.52    2.75    2.24    1.83    1.51    1.24    1.03    0.84 
  30.50   12.13   10.57    8.88    6.73    4.76    3.48    2.73    2.23    1.81    1.50    1.23    1.02    0.84 
  30.75   12.13   10.57    8.86    6.67    4.69    3.45    2.70    2.21    1.80    1.49    1.22    1.01    0.84 
  31.00   12.13   10.57    8.84    6.60    4.63    3.41    2.68    2.19    1.78    1.47    1.21    1.01    0.83 
  31.25   12.13   10.56    8.80    6.53    4.57    3.37    2.65    2.17    1.77    1.46    1.20    1.00    0.83 
  31.50   12.13   10.56    8.75    6.45    4.51    3.33    2.62    2.15    1.75    1.45    1.19    0.99    0.82 
  31.75   12.13   10.55    8.70    6.38    4.45    3.29    2.59    2.13    1.74    1.43    1.18    0.98    0.81 
  32.00   12.12   10.54    8.64    6.30    4.38    3.25    2.57    2.10    1.72    1.42    1.17    0.97    0.81 
  32.25   12.12   10.54    8.57    6.23    4.32    3.21    2.54    2.08    1.70    1.41    1.16    0.97    0.80 
  32.50   12.12   10.53    8.50    6.15    4.26    3.17    2.51    2.06    1.69    1.40    1.15    0.96    0.79 
  32.75   12.11   10.52    8.42    6.07    4.20    3.13    2.48    2.04    1.67    1.38    1.14    0.95    0.79 
  33.00   12.11   10.51    8.35    5.99    4.14    3.09    2.45    2.01    1.65    1.37    1.13    0.94    0.78 
  33.25   12.10   10.50    8.28    5.92    4.08    3.05    2.42    1.99    1.63    1.36    1.11    0.93    0.77 
  33.50   12.10   10.49    8.20    5.84    4.02    3.01    2.38    1.96    1.62    1.34    1.10    0.92    0.76 
  33.75   12.09   10.47    8.13    5.76    3.96    2.97    2.35    1.94    1.60    1.33    1.09    0.91    0.75 
  34.00   12.09   10.46    8.05    5.68    3.90    2.93    2.32    1.91    1.58    1.31    1.08    0.90    0.75 
  34.25   12.08   10.44    7.96    5.60    3.84    2.89    2.29    1.88    1.56    1.30    1.06    0.89    0.74 
  34.50   12.07   10.42    7.87    5.51    3.78    2.84    2.26    1.86    1.54    1.28    1.05    0.88    0.73 
  34.75   12.07   10.40    7.78    5.43    3.72    2.80    2.22    1.83    1.51    1.27    1.04    0.87    0.72 
  35.00   12.06   10.37    7.68    5.34    3.66    2.76    2.19    1.81    1.49    1.25    1.03    0.86    0.71 
  35.25   12.05   10.33    7.59    5.26    3.60    2.72    2.16    1.78    1.47    1.23    1.01    0.85    0.70 
  35.50   12.04   10.29    7.49    5.17    3.54    2.68    2.13    1.75    1.45    1.22    1.00    0.83    0.69 
  35.75   12.03   10.24    7.39    5.08    3.48    2.64    2.09    1.73    1.43    1.20    0.99    0.82    0.68 
  36.00   12.01   10.18    7.29    4.99    3.42    2.60    2.06    1.70    1.41    1.18    0.97    0.81    0.67 
  36.25   12.00   10.10    7.18    4.90    3.36    2.56    2.03    1.67    1.38    1.16    0.96    0.80    0.66 
  36.50   11.99   10.01    7.08    4.81    3.30    2.52    1.99    1.64    1.36    1.14    0.94    0.79    0.65 
  36.75   11.97    9.91    6.98    4.72    3.25    2.48    1.96    1.61    1.34    1.12    0.93    0.78    0.64 
  37.00   11.95    9.80    6.87    4.64    3.19    2.44    1.93    1.59    1.32    1.10    0.91    0.77    0.63 
  37.25   11.93    9.70    6.77    4.55    3.13    2.40    1.90    1.56    1.29    1.08    0.90    0.75    0.62 
  37.50   11.91    9.60    6.68    4.47    3.07    2.36    1.86    1.53    1.27    1.06    0.88    0.74    0.60 
  37.75   11.89    9.50    6.58    4.39    3.02    2.31    1.83    1.50    1.25    1.04    0.86    0.73    0.59 
  38.00   11.86    9.40    6.48    4.30    2.96    2.27    1.80    1.48    1.22    1.02    0.84    0.71    0.58 
  38.25   11.83    9.30    6.38    4.22    2.90    2.23    1.76    1.45    1.20    1.00    0.83    0.70    0.57 
  38.50   11.80    9.19    6.28    4.14    2.85    2.19    1.73    1.42    1.18    0.98    0.81    0.69    0.56 
  38.75   11.76    9.07    6.17    4.06    2.80    2.15    1.70    1.39    1.15    0.96    0.79    0.67    0.55 
  39.00   11.72    8.94    6.06    3.97    2.74    2.10    1.67    1.37    1.13    0.94    0.77    0.66    0.54 
  39.25   11.67    8.81    5.95    3.89    2.69    2.06    1.63    1.34    1.11    0.92    0.76    0.64    0.53 
  39.50   11.61    8.67    5.84    3.80    2.63    2.02    1.60    1.31    1.09    0.90    0.74    0.63    0.52 
  39.75   11.54    8.54    5.73    3.72    2.58    1.98    1.57    1.29    1.06    0.88    0.72    0.61    0.50 
  40.00   11.46    8.40    5.62    3.64    2.52    1.94    1.54    1.26    1.04    0.86    0.70    0.60    0.49 
  40.25   11.37    8.26    5.51    3.55    2.47    1.90    1.50    1.23    1.02    0.84    0.69    0.59    0.48 
  40.50   11.25    8.12    5.39    3.47    2.42    1.86    1.47    1.21    0.99    0.82    0.67    0.57    0.47 
  40.75   11.12    7.98    5.28    3.39    2.37    1.82    1.44    1.18    0.97    0.80    0.65    0.56    0.46 
  41.00   10.96    7.84    5.16    3.31    2.31    1.78    1.41    1.16    0.95    0.78    0.64    0.54    0.45 
  41.25   10.79    7.71    5.05    3.24    2.26    1.74    1.38    1.13    0.93    0.76    0.62    0.53    0.44 
  41.50   10.61    7.58    4.94    3.16    2.21    1.71    1.34    1.11    0.91    0.74    0.61    0.51    0.43 
  41.75   10.45    7.46    4.83    3.09    2.16    1.67    1.31    1.08    0.89    0.73    0.59    0.50    0.41 
  42.00   10.32    7.33    4.73    3.02    2.11    1.64    1.28    1.06    0.87    0.71    0.58    0.49    0.40 
  42.25   10.22    7.20    4.63    2.95    2.07    1.60    1.26    1.04    0.85    0.69    0.56    0.47    0.39 
  42.50   10.14    7.08    4.53    2.88    2.02    1.57    1.23    1.01    0.83    0.67    0.54    0.46    0.38 
  42.75   10.07    6.96    4.44    2.81    1.97    1.53    1.20    0.99    0.81    0.66    0.53    0.45    0.37 
  43.00    9.99    6.84    4.34    2.75    1.93    1.50    1.17    0.96    0.79    0.64    0.52    0.43    0.36 
  43.25    9.90    6.73    4.25    2.68    1.88    1.46    1.14    0.94    0.77    0.62    0.50    0.42    0.35 
  43.50    9.79    6.62    4.15    2.61    1.83    1.43    1.11    0.92    0.75    0.61    0.49    0.41    0.34 
  43.75    9.66    6.51    4.06    2.55    1.79    1.40    1.09    0.90    0.74    0.59    0.48    0.40    0.33 
  44.00    9.49    6.41    3.97    2.49    1.75    1.36    1.06    0.87    0.72    0.58    0.46    0.39    0.32 
  44.25    9.30    6.30    3.88    2.43    1.71    1.33    1.04    0.85    0.70    0.57    0.45    0.38    0.31 
  44.50    9.06    6.19    3.79    2.37    1.67    1.30    1.02    0.83    0.69    0.55    0.44    0.37    0.30 
  44.75    8.73    6.08    3.71    2.32    1.63    1.27    0.99    0.81    0.67    0.54    0.43    0.36    0.29 
  45.00    8.46    5.96    3.62    2.26    1.60    1.24    0.97    0.79    0.65    0.53    0.42    0.35    0.28 
  45.25    8.26    5.85    3.54    2.21    1.56    1.21    0.95    0.78    0.64    0.51    0.41    0.34    0.27 
  45.50    8.09    5.74    3.45    2.15    1.52    1.18    0.92    0.76    0.62    0.50    0.39    0.33    0.26 
  45.75    7.94    5.63    3.36    2.10    1.48    1.15    0.90    0.74    0.61    0.49    0.38    0.32    0.26 
  46.00    7.78    5.52    3.28    2.05    1.45    1.13    0.88    0.72    0.59    0.48    0.37    0.31    0.25 
  46.25    7.62    5.41    3.19    1.99    1.41    1.10    0.86    0.70    0.58    0.47    0.36    0.30    0.24 
  46.50    7.47    5.31    3.11    1.94    1.38    1.07    0.84    0.69    0.57    0.45    0.35    0.29    0.23 
  46.75    7.33    5.21    3.04    1.90    1.35    1.05    0.82    0.67    0.55    0.44    0.35    0.28    0.23 
  47.00    7.22    5.11    2.96    1.85    1.32    1.03    0.80    0.66    0.54    0.43    0.34    0.28    0.22 
  47.25    7.13    5.01    2.89    1.81    1.29    1.00    0.79    0.64    0.53    0.42    0.33    0.27    0.21 
  47.50    7.04    4.91    2.82    1.76    1.26    0.98    0.77    0.63    0.51    0.41    0.32    0.26    0.21 
  47.75    6.95    4.81    2.76    1.72    1.23    0.96    0.75    0.61    0.50    0.40    0.31    0.25    0.20 
  48.00    6.85    4.70    2.69    1.68    1.20    0.94    0.73    0.60    0.49    0.39    0.30    0.25    0.20 
  48.25    6.74    4.60    2.63    1.64    1.17    0.92    0.72    0.59    0.47    0.38    0.29    0.24    0.19 
  48.50    6.62    4.50    2.57    1.60    1.14    0.90    0.70    0.57    0.46    0.37    0.29    0.23    0.18 
  48.75    6.51    4.41    2.51    1.56    1.11    0.88    0.68    0.56    0.45    0.36    0.28    0.22    0.18 
  49.00    6.40    4.31    2.45    1.52    1.09    0.86    0.67    0.55    0.44    0.35    0.27    0.22    0.17 
  49.25    6.31    4.23    2.39    1.49    1.06    0.84    0.65    0.54    0.43    0.35    0.26    0.21    0.16 
  49.50    6.25    4.14    2.34    1.45    1.04    0.82    0.64    0.52    0.42    0.34    0.26    0.21    0.16 
  49.75    6.21    4.06    2.28    1.42    1.01    0.80    0.62    0.51    0.41    0.33    0.25    0.20    0.15 
  50.00    6.17    3.98    2.22    1.38    0.99    0.78    0.61    0.50    0.40    0.32    0.24    0.19    0.15 
  50.25    6.14    3.91    2.16    1.35    0.96    0.76    0.59    0.49    0.39    0.31    0.23    0.19    0.14 
  50.50    6.10    3.83    2.10    1.31    0.94    0.74    0.58    0.47    0.38    0.30    0.23    0.18    0.14 
  50.75    6.06    3.75    2.05    1.28    0.91    0.72    0.56    0.46    0.37    0.29    0.22    0.18    0.13 
  51.00    6.01    3.68    1.99    1.25    0.89    0.70    0.55    0.45    0.36    0.29    0.21    0.17    0.13 
  51.25    5.96    3.60    1.94    1.22    0.87    0.68    0.53    0.44    0.35    0.28    0.21    0.17    0.12 
  51.50    5.89    3.52    1.88    1.18    0.84    0.67    0.52    0.43    0.34    0.27    0.20    0.16    0.12 
