;keV,FOXSI-1 (cm^2),FOXSI-2 (cm^2)
1.00,27.10,34.1589636
1.19,27.11,34.16469234
1.38,27.04,34.0860639
1.58,26.88,33.89938299
1.77,26.54,33.48911341
1.96,25.36,32.07688132
2.15,17.61,22.70040898
2.34,20.29,25.96165507
2.54,20.53,26.26441942
2.73,20.87,26.68052741
2.92,20.60,26.35157377
3.11,21.32,27.22444972
3.30,21.40,27.33074685
3.49,21.64,27.62279047
3.69,21.81,27.83504735
3.88,21.95,28.0023744
4.07,22.05,28.13601297
4.26,22.14,28.24362245
4.45,22.20,28.32949814
4.65,22.25,28.3955022
4.84,22.29,28.44486721
5.03,22.31,28.47922068
5.22,22.32,28.50032111
5.41,22.32,28.50724399
5.61,22.31,28.50238703
5.80,22.29,28.48637137
5.99,22.26,28.45946269
6.18,22.23,28.42194472
6.37,22.18,28.3742037
6.57,22.12,28.31676403
6.76,22.06,28.25000291
6.95,21.99,28.17335401
7.14,21.91,28.08698933
7.33,21.82,27.99198689
7.53,21.73,27.88751359
7.72,21.62,27.77335065
7.91,21.51,27.65083462
8.10,21.39,27.51754785
8.29,21.26,27.37549083
8.48,21.13,27.22245022
8.68,20.98,27.05909402
8.87,20.82,26.88523715
9.06,20.65,26.69799602
9.25,20.47,26.49847187
9.44,20.28,26.28515531
9.64,20.07,26.05400797
9.83,19.85,25.80388878
10.02,19.60,25.53445906
10.21,19.34,25.23857176
10.40,19.03,24.90469296
10.60,18.68,24.51154385
10.79,18.23,24.02368812
10.98,17.58,23.31179053
11.17,12.59,17.9049356
11.36,9.54,13.7051699
11.56,9.87,14.13870655
11.75,9.78,14.06937314
11.94,9.52,13.82070846
12.13,9.16,13.44968434
12.32,8.70,12.97154252
12.52,8.13,12.36543459
12.71,7.02,11.1353332
12.90,4.12,7.292043472
13.09,5.18,8.673384639
13.28,4.77,8.219370345
13.47,4.10,7.282560678
13.67,4.07,7.290866709
13.86,3.89,7.105182136
14.05,3.68,6.881248691
14.24,3.45,6.636266176
14.43,3.22,6.379428695
14.63,2.99,6.116251615
14.82,2.76,5.850695659
15.01,2.53,5.584175152
15.20,2.31,5.321090596
15.39,2.09,5.063574988
15.59,1.89,4.812287159
15.78,1.70,4.566637973
15.97,1.52,4.325187157
16.16,1.34,4.089210865
16.35,1.18,3.858684717
16.55,1.03,3.632953253
16.74,0.89,3.410826651
16.93,0.76,3.192246184
17.12,0.64,2.976446158
17.31,0.54,2.762630892
17.51,0.44,2.552874309
17.70,0.36,2.348418695
17.89,0.30,2.149383704
18.08,0.24,1.957166192
18.27,0.20,1.773137838
18.46,0.17,1.597425796
18.66,0.14,1.430659528
18.85,0.12,1.273243609
19.04,0.10,1.12535129
19.23,0.08,0.988278499
19.42,0.07,0.861685118
19.62,0.06,0.744197731
19.81,0.05,0.635144229
20.00,0.05,0.534561914
